Product name,description,SKU code,Regular Price,Sale Price,Stock quantity,weight,height,Related product,Short description,parameters,parameter price,Image URL,Meta title SEO,Meta Keyword,Meta Description,Categories,Date
Chocolate to Savour - Kirsten Tibballs,"<h2 0px="""" border-radius:="""" new="""" style=""margin: 0px; padding: 0px; outline: none; list-style: none; border: 0px; color: rgb(0, 0, 0); font-family: "" times=""""> </h2><p style=""font-size: 12px;""><strike><span style=""font-size: 16px;"">WAS $110.00</span></strike></p><p style=""font-size: 12px;""><span style=""color: rgb(255, 0, 0);""><strong><span style=""font-size: 16px;"">NOW $79.00</span></strong></span></p><p> </p><h3 0px="""" border-radius:="""" new="""" style=""margin: 0px; padding: 0px; outline: none; list-style: none; border: 0px; color: rgb(0, 0, 0); font-family: "" times=""""><span style=""margin: 0px; padding: 0px; outline: 0px; list-style: none; border: 0px; border-radius: 0px !important; color: rgb(0, 0, 205);""><span style=""margin: 0px; padding: 0px; outline: 0px; list-style: none; border: 0px; border-radius: 0px !important; font-family: tahoma, geneva, sans-serif;"">LIMITED STOCK</span></span></h3><p> </p><p>This stunning debut cookbook by internationally renowned and award winning pastry chef Kirsten Tibballs is the definitive guide to the art of chocolate and pastry.</p><p>This award winning book features exquisite recipes for you to make including entremets, chocolate bars, tarts, macarons, petit gateaux and much more.<br />- Over 60 new concepts & recipes<br />- For the home or professional chef<br />- Easy to follow instructions with step-by-step photos<br />- Clear and precise chocolate theory for that perfect finish<br />- Award winning book for Best Photography in the UK at the Gourmand World Cookbook Awards.</p>",9781908202130,79,0,967,1.59,0," Tartes, Gouters, Entremets – Stephane Glacier & Gaetan Paris, Petits gateaux, tartes et entremets au fil des saisons - Stephane Glacier & Jerome Le Teuff, Simply Beautiful - Antonio Bachour, Chocolate - Antonio Bachour",This stunning debut cookbook by internationally renowned and award winning pastry chef Kirsten Tibballs is the definitive guide to the art of chocolate and pastry.,,0," http://www.savourschool.com.au/source/Product/89201305245635142631657450000.jpg, http://www.savourschool.com.au/source/Product/269201301955635158235955944067.jpg, http://www.savourschool.com.au/source/Product/269201302949635158241894614067.jpg, http://www.savourschool.com.au/source/Product/269201303013635158242131084067.jpg, http://www.savourschool.com.au/source/Product/269201303256635158243769284067.jpg",Chocolate to Savour by Kirsten Tibballs - Savour Chocolate & Patisserie School,"dessert cook books, healthy dessert recipes, easy desserts, cooking books, dessert recipes, simple dessert recipes, chocolate desserts, cake recipes, dessert cookbooks, cook books, cake recipes easy, kirsten tibballs, kirsten tibballs savour",This stunning debut cookbook by internationally renowned and award winning pastry chef Kirsten Tibballs is the definitive guide to the art of chocolate and pastry. Delivered quickly throughout Australia or around the globe.," Books, SALE, Gift Guide -> Under $100, Discontinued Limited Stock",04/09/2013
Callebaut Cocoa Powder 100% 1kg,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""><span style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">Callebaut cocoa powder is made with the finest cocoa beans sourced from around the world and has a rich flavour and aroma.</span></h1><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><strong>Cacao solids: </strong>100% </p><p><strong>Fat content:</strong>  22-24%</p><p><strong>Weight:  </strong>1kg</p>",,19.5,0,9828,1.04,0," Callebaut Paillete Feulletin 500g (Wafers), Large Drum Sieve, Callebaut Mycryo Cocoa Butter 600g, Callebaut Cocoa Mass 100% 2.5kg Callets",Callebaut cocoa powder is made with the finest cocoa beans sourced from around the world and has a rich flavour and aroma.,,0, http://www.savourschool.com.au/source/Product/16920130503635149506032354562.jpg,Callebaut Cocoa Powder 100% 1kg,"callebaut,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut belgium chocolate, callebaut cocoa powder, cocoa powder, raw cocoa powder, unsweetened cocoa powder, cacao powder",Callebaut cocoa powder is made with the finest cocoa beans sourced from around the world and has a rich flavour and aroma., Ingredients -> Cocoa Products,16/09/2013
Callebaut Gianduja 1kg,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""><span style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">Callebaut Gianduja is an addictive blend of </span><strong style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">milk chocolate and hazelnut praline paste</strong><span style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">.</span></h1><p> </p><p><strong>Weight:</strong>  1kg</p><p><em><span style=""font-size: 11px;"">Please note that chocolate is susceptible to high temperatures. While we take every care in packaging items to mail, we cannot guarantee that they will arrive undamaged during warmer months. Shipping any temperature sensitive items between September and April is at the risk of the buyer.</span></em></p>",,32,0,9965,1.005,0,,Callebaut Gianduja is an addictive blend of milk chocolate and hazelnut praline paste.,,0, http://www.savourschool.com.au/source/Product/169201305511635149509117744562.jpg,Callebaut Gianduja 1kg,"callebaut,milk chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut milk chocolate callets, milk couverture, callebaut milk chocolate,callebaut callets,best milk chocolate, belgium chocolate, hazelnut praline paste, hazelnut paste, callebaut gianduja",Callebaut Gianduja is an addictive blend of milk chocolate and hazelnut praline paste.," Ingredients -> Nut Pastes & Pralines, Ingredients -> Cocoa Products, Ingredients -> Callebaut Milk Chocolate",16/09/2013
Callebaut Cocoa Mass 100% 500g Callets,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""> </h1><p>Cocoa Mass is 100% cocoa solids, made with the finest cocoa beans sourced from around the world.</p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><strong>Reference: </strong>CM-CAL</p><p><strong>Cacao solids: </strong>100% </p><p><strong>Weight: </strong>500g</p>",,17.5,0,9988,0.515,0,,"Cocoa Mass is 100% cocoa solids, made with the finest cocoa beans sourced from around the world.",,0, http://www.savourschool.com.au/source/Product/239201402855635470685357653750.jpg,Callebaut Cocoa Mass 100% 500g Callets,"callebaut,dark chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut dark chocolate callets, dark couverture, callebaut dark chocolate,callebaut callets,best dark chocolate, belgium chocolate, cocoa mass, cacao mass","Cocoa Mass is 100% cocoa solids, made with the finest cocoa beans sourced from around the world.", Ingredients -> Cocoa Products,16/09/2013
Callebaut Cocoa Nibs 100% 800g,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""> </h1><p>Cocoa nibs are a delicious way to add intense chocolate flavour and crunch to your favourite recipes.</p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><strong>Reference: </strong>NIBS-S502</p><p><strong>Cacao solids: </strong>100% </p><p><strong>Weight: </strong>800g</p>",,29,0,9994,0.815,0,,Callebaut Cocoa nibs are a delicious way to add intense chocolate flavour and crunch to your favourite recipes.,,0," http://www.savourschool.com.au/source/Product/16920130128635149519286784562.jpg, http://www.savourschool.com.au/source/Product/1820140179635424922295549871.jpg",Callebaut Cocoa Nibs 100% 800g,"callebaut,dark chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut dark chocolate callets, dark couverture, callebaut dark chocolate,callebaut callets,best dark chocolate, belgium chocolate, cacao nibs, cocoa nibs",Callebaut Cocoa nibs are a delicious way to add intense chocolate flavour and crunch to your favourite recipes.," Ingredients -> General, Ingredients -> Cocoa Products, Decorating and Garnishing -> Garnishes, Cake Decorating -> Colours & Garnishes",16/09/2013
Callebaut Dark Crispearls 800g,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""><span style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">Use Callebaut Dark Crispearls to add a delightful chocolate crunch touch to your pastries, desserts and pralines.</span></h1><p><strong>Description: </strong>Tiny, shiny pearls in dark chocolate with a crunchy toasted cereal centre.</p><p><strong>Cacao solids: </strong>min. 50.2%</p><p><strong>Weight: </strong>800g</p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><em><span style=""font-size: 11px;"">Please note that chocolate is susceptible to high temperatures. While we take every care in packaging items to mail, we cannot guarantee that they will arrive undamaged during warmer months. Shipping any temperature sensitive items between September and April is at the risk of the buyer.</span></em></p><p> </p>",,38.5,0,999,0.815,0,,"Crispearls are shiny pearls of cereal coated with Callebaut dark chocolate. Add a delightful chocolate crunch touch to your pastries, desserts and pralines.",,0, http://www.savourschool.com.au/source/Product/144201504738635646052586856338.jpg,Callebaut Dark Crispearls 800g - Savour Chocolate & Patisserie School,"callebaut,dark chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut dark chocolate callets, dark couverture, callebaut dark chocolate,callebaut callets,best dark chocolate, belgium chocolate, crispearls, callebaut crispearls, dark crispearls","Crispearls are shiny pearls of cereal coated with Callebaut dark chocolate. Add a delightful chocolate crunch touch to your pastries, desserts and pralines."," Ingredients -> Cocoa Products, Decorating and Garnishing -> Garnishes, Ingredients -> Callebaut Dark Chocolate",16/09/2013
Callebaut White Crispearls 800g,"<h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""> </h1><h1 style=""font-size: 23.52px; color: rgb(51, 51, 51); font-family: Helvetica, Arial, sans-serif; margin: 0px; line-height: 23.52px;""><span style=""line-height: 19px; color: rgb(34, 34, 34); font-family: Arial, Verdana, sans-serif; font-size: 12px;"">Use Callebaut White Crispearls to add a delightful chocolate crunch touch to your pastries, desserts and pralines.</span></h1><p><strong>Flavour Profile:</strong> Tiny, shiny pearls in white chocolate with a crunchy toasted cereal centre</p><p><strong>Cacao solids: </strong>min. 25.2%</p><p><strong>Weight: </strong>800g</p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><em><span style=""font-size: 11px;"">Please note that chocolate is susceptible to high temperatures. While we take every care in packaging items to mail, we cannot guarantee that they will arrive undamaged during warmer months. Shipping any temperature sensitive items between September and April is at the risk of the buyer.</span></em></p>",,38.5,0,9977,0.815,0,,"Shiny pearls of cereal coated with Callebaut white chocolate. Add a delightful chocolate crunch touch to your pastries, desserts and pralines.",,0, http://www.savourschool.com.au/source/Product/144201504651635646052117168838.jpg,Callebaut White Crispearls 800g - Savour Chocolate & Patisserie School,"callebaut,white chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut white chocolate callets, white couverture, callebaut white chocolate,callebaut callets,best white chocolate, belgium chocolate","Shiny pearls of cereal coated with Calleabaut white chocolate. Add a delightful chocolate crunch touch to your pastries, desserts and pralines."," Ingredients -> Cocoa Products, Decorating and Garnishing -> Garnishes, Ingredients -> Callebaut White Chocolate",16/09/2013
Callebaut Paillete Feulletin 500g (Wafers),"<p> </p><p>Paillete Feulletin is the perfect companion if you want to play with contrasts in taste and texture. Its delicious taste is highly compatible with chocolate. At the same time, its crunchiness will give your pralines, tablets, pastries and desserts even more depth and refinement. Use it to give smooth centres a crispy bite. Paillete Feulletin is tiny pieces of crunchy wafers.</p><p><strong>Weight: </strong>500g</p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p>",,24.5,0,9954,0.515,0," Callebaut Cocoa Powder 100% 1kg, Callebaut Cocoa Nibs 100% 800g, Callebaut Dark Crispearls 800g, Callebaut Cocoa Mass 100% 2.5kg Callets","The original French biscuit crunch, Callebaut Pailleté Feuilletine is tiny pieces of delicious, crunchy wafers.",,0, http://www.savourschool.com.au/source/Product/18201403454635424968942180731.jpg,Callebaut Paillete Feuilletine - 500g,"pailleté feuilletine, paillete feuilletine, ingredients for crepes, recipes crepes, callebaut paillete feuilletine, paillette feuilletine","The original French biscuit crunch, Callebaut Pailleté Feuilletine is tiny pieces of delicious, crunchy wafers."," Ingredients -> General, Decorating and Garnishing -> Garnishes, Cake Decorating -> Colours & Garnishes",16/09/2013
Callebaut 823NV Milk Couverture 33.6% - 1kg Callets,"<p style=""font-size: 12px;"">This Belgian Milk Coverture with 33.6% cocoa solids is made with the finest cocoa beans sourced from around the world, natural vanilla and 100% pure cocoa butter. </p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><strong>Reference: </strong>823NV</p><p><strong>Flavour Profile: </strong>Balanced milk, cocoa and caramel taste</p><p><strong>Cacao solids: </strong>33.6% </p><p><strong>Weight: </strong>1kg</p><p><img alt="""" src=""/source/ckfinder/files/Callebaut-Milk-Chocolate-Chocolizer.jpg"" style=""width: 200px; height: 200px;"" /></p><p style=""font-size: 11.99px;""><strong>Origin of the Cocoa Beans: </strong>Mainly West African cocoa beans, mostly Forastero variety</p><p style=""font-size: 11.99px;""><strong>Pairing Tips:</strong> Cinnamon, Vanilla, Mango, Cognac (Armagnac), Grappa, Lavender, Apricot, Lemon, Truffle Oil, Laurel, Cardamom, Leffe Blond, Cloves, Macadamia nut</p><p><span style=""font-size: 8px;"">Please Note: that chocolate is susceptible to high temperatures. While we take every care in packaging items to mail, we cannot guarantee that they will arrive undamaged during warmer months. Shipping any temperature sensitive items between September and April is at the risk of the buyer.</span></p>",,22,0,9933,1.025,0," 1.5L Chocolate Melting Tank, Tempering Spoon, Coloured Mini Chocolate Melting Tank 1.8lt (Various Colours), 1.8lt Chocolate Colour Tank Basin Insert","This Callebaut Belgian Milk Coverture with 33.6% cocoa solids is made with the finest cocoa beans sourced from around the world, natural vanilla and 100% pure cocoa butter.",,0, http://www.savourschool.com.au/source/Product/169201302540635149527409034562.png,Callebaut 823NV Milk Couverture 33.6% 1kg Callets - Savour Chocolate & Patisserie School,"callebaut,milk chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut milk chocolate callets, milk couverture, callebaut milk chocolate,callebaut callets,best milk chocolate, belgium chocolate",Callebaut Milk Chocolate is the finest Belgium couverture callets. Savour has the cheapest price on Callebaut chocolate delivered quickly throughout Australia or around the globe.," Chocolate, Ingredients -> Callebaut Milk Chocolate",16/09/2013
Callebaut 823NV Milk Couverture 33.6% - 2.5kg Callets,"<p style=""font-size: 11.99px;""><span style=""font-size: 12px;"">This Belgian Milk Coverture with 33.6% cocoa solids is made with the finest cocoa beans sourced from around the world, natural vanilla and 100% pure cocoa butter.</span></p><p><em>This is one of the standard chocolate products used at Savour Chocolate and Patisserie School.</em></p><p><strong>Reference: </strong>823NV</p><p><strong>Flavour Profile: </strong>Balanced milk, cocoa and caramel taste</p><p><strong>Cacao solids: </strong>33.6% </p><p><strong>Weight: </strong>2.5kg</p><p><img alt="""" src=""/source/ckfinder/files/Callebaut-Milk-Chocolate-Chocolizer.jpg"" style=""width: 200px; height: 200px;"" /></p><p style=""font-size: 11.99px;""><strong>Origin of the Cocoa Beans: </strong>Mainly West African cocoa beans, mostly Forastero variety</p><p style=""font-size: 11.99px;""><strong>Pairing Tips:</strong> Cinnamon, Vanilla, Mango, Cognac (Armagnac), Grappa, Lavender, Apricot, Lemon, Truffle Oil, Laurel, Cardamom, Leffe Blond, Cloves, Macadamia nut</p><p><span style=""font-size: 8px;"">Please Note: that chocolate is susceptible to high temperatures. While we take every care in packaging items to mail, we cannot guarantee that they will arrive undamaged during warmer months. Shipping any temperature sensitive items between September and April is at the risk of the buyer.</span></p>",,50,0,9822,2.515,0," 6L Chocolate Melting Tank, Scraper Large Metal Red, Tempering Spoon, Coloured Mini Chocolate Melting Tank 1.8lt (Various Colours)","This Callebaut Belgian Milk Coverture with 33.6% cocoa solids is made with the finest cocoa beans sourced from around the world, natural vanilla and 100% pure cocoa butter.",,0, http://www.savourschool.com.au/source/Product/169201302822635149529028894562.png,Callebaut 823NV Milk Couverture 33.6% 2.5kg Callets - Savour Chocolate & Patisserie School,"callebaut,milk chocolate,couverture chocolate,chocolate, callebaut, callebaut australia, callebaut milk chocolate callets, milk couverture, callebaut milk chocolate,callebaut callets,best milk chocolate, belgium chocolate",Callebaut Milk Chocolate is the finest Belgium couverture callets. Savour has the cheapest price on Callebaut chocolate delivered quickly throughout Australia or around the globe.," Chocolate, Ingredients -> Callebaut Milk Chocolate",16/09/2013
